index,name,n_rows,n_empty,empty_rate,n_distinct,n_distinct_nonempty,all_nonempty_match_decimal,all_nonempty_match_integer,min_decimal,max_decimal,n_negative,n_zero,n_with_leading_zero,n_with_leading_zero_any,min_len,max_len,is_constant,looks_unique,n_candidate_sentinel_values,top1_value,top1_count
257,heatindex_C_M85_SMax,62834,83,0.0013209408918738264,62493,62492,True,False,0.398766840000000,28.199274700000000,0,0,,0,17,18,False,False,0,,83
258,heatindex_C_M85_D95,62834,83,0.0013209408918738264,21663,21662,True,False,-0.066666670000000,50.499999870000003,8,10956,,0,17,18,False,False,0,0.000000000000000,10956
259,heatindex_C_M85_D105,62834,83,0.0013209408918738264,18417,18416,True,False,0.000000000000000,44.599999670000003,0,14647,,0,17,18,False,False,1,0.000000000000000,14647
260,heatindex_C_M85_D115,62834,83,0.0013209408918738264,7173,7172,True,False,-0.033333330000000,30.000000060000001,1,16157,,0,17,18,False,False,0,0.000000000000000,16157
261,heatindex_C_M85_D125,62834,83,0.0013209408918738264,3971,3970,True,False,0.000000000000000,20.800000350000001,0,17256,,0,17,18,False,False,1,0.000000000000000,17256
262,heatindex_C_E85_DMax,62834,83,0.0013209408918738264,62235,62234,True,False,2.595638280000000,40.637987770000002,0,0,,0,17,18,False,False,0,,83
263,heatindex_C_E85_SMax,62834,83,0.0013209408918738264,62556,62555,True,False,1.820859270000000,47.304850260000002,0,0,,0,17,18,False,False,0,,83
264,heatindex_C_E85_D95,62834,83,0.0013209408918738264,33043,33042,True,False,0.000000000000000,70.066666920000003,0,7141,,0,17,18,False,False,1,0.000000000000000,7141
265,heatindex_C_E85_D105,62834,83,0.0013209408918738264,27918,27917,True,False,0.000000000000000,83.033335800000003,0,11815,,0,17,18,False,False,1,0.000000000000000,11815
266,heatindex_C_E85_D115,62834,83,0.0013209408918738264,15176,15175,True,False,-0.033333330000000,79.133332839999994,1,13683,,0,17,18,False,False,0,0.000000000000000,13683
267,heatindex_C_E85_D125,62834,83,0.0013209408918738264,10274,10273,True,False,0.000000000000000,70.666666910000004,0,14915,,0,17,18,False,False,1,0.000000000000000,14915
268,GlobalID,62834,83,0.0013209408918738264,62752,62751,False,False,,,,,,0,38,38,False,True,0,,83
269,created_us,62834,83,0.0013209408918738264,2,1,False,False,,,,,,0,6,6,True,False,0,CBURDI,62751
270,created_da,62834,83,0.0013209408918738264,2,1,False,False,,,,,,0,17,17,True,False,0,9/13/2023 0:00:00,62751
271,last_edite,62834,83,0.0013209408918738264,2,1,False,False,,,,,,0,6,6,True,False,0,CBURDI,62751
272,last_edi_1,62834,83,0.0013209408918738264,2,1,False,False,,,,,,0,17,17,True,False,0,9/13/2023 0:00:00,62751
273,Shape_STAr,62834,83,0.0013209408918738264,62752,62751,True,False,166923736.009000003337860,1066141888.320000052452087,0,0,,0,25,26,False,True,0,,83
274,Shape_STLe,62834,83,0.0013209408918738264,62752,62751,True,False,51679.594402000002447,130607.422556000004988,0,0,,0,21,22,False,True,0,,83
